Complaint_ID,Make,Model,Department,Complaint,Description,location
264,TATA MOTORS,Nexon EV,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHILE DRIVING ON AN INCLINE, THE TRANSMISSION FAILED, THEN CAUGHT FIRE DUE TO ELECTRICAL SHORT IN TRANSMISSION, ACCORDING TO FIRE DEPT REPORT.  TT",Mumbai
265,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,"UPON IMPACT, DURING FRONT CRASH AT APPROX. 25MPH, 10:00 ON FRONT BUMPER, AIRBAG FAILED TO DEPLOY.  TT",Nagpur
266,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"AUTO-TRAN: WHILE PARKED, SHIFTED TO REVERSE; ENGINE ACCELERATED ON ITS OWN; VEHICLE TOOK OFF; BRAKES APPLIED; VEHICLE SLAMMED INTO HOUSE ACROSS STREET.  TT",Ghaziabad
267,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE PARKED, PUT INTO DRIVE, VEHICLE WENT INTO OPEN THROTTLE POSITION, CAUSING SUDDEN ACCELERATION, IMPACT 1:00 POSITION, SPEED UNKNOWN.  TT",Bengaluru
268,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL ENGAGED.  *AK,Pune
269,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,NO DEPLOYMENT OF AIRBAG DURING ACCIDENT.  *AK,Aurangabad
270,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,DURING FRONTEND COLLISION AT 40MPH AIRBAG DID NOT DEPLOY CAUSING MINOR INJURIES TO DRIVER. PLEASE DESCRIBE DETAILS.  TT,Ghaziabad
271,TATA MOTORS,Nexon,VEHICLE CONTROL,TIRES,REAR TIRE BLEW HIT CONCRETE BARRIER AND AIR BAG DID DEPLOY.  TT,Tiruchirappalli
272,TATA MOTORS,Indigo,SAFETY,SEAT BELTS,REAR TIRE BLEW HIT CONCRETE BARRIER AND AIR BAG DID DEPLOY.  TT,Hyderabad
273,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,"AIR BAG DID NOT DEPLOY DURING ACCIDENT, SEATBELT DID NOT LOCKUP, ABS BRAKE SYSTEM LOCKUP CAUSE OF ACCIDENT.  TT",Bengaluru
274,TATA MOTORS,Tiago EV,SAFETY,SEAT BELTS,"AIR BAG DID NOT DEPLOY DURING ACCIDENT, SEATBELT DID NOT LOCKUP, ABS BRAKE SYSTEM LOCKUP CAUSE OF ACCIDENT.  TT",Jodhpur
275,TATA MOTORS,Bolt,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE ACCELERATED BY ITSELF, EQUIPED WITH ABS SYSTEM.  TT",Kanpur
276,TATA MOTORS,Indica,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,TIE ROD SNAPPED IN HALF AND MOTOR MOUNT WENT BAD.  TT,Indore
277,TATA MOTORS,Vista,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHEN SHIFT INTO REVERSE, VEHICLE JOLTED FORWARD. DRIVER THEN PUT INTO PARK WITH HIGH IDLE. 2) OWNERS ALSO HAD DIFFICULTY SHIFTING DROPPING INTO GEAR.  TT",Faridabad
278,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHEN SHIFT INTO REVERSE, VEHICLE JOLTED FORWARD. DRIVER THEN PUT INTO PARK WITH HIGH IDLE. 2) OWNERS ALSO HAD DIFFICULTY SHIFTING DROPPING INTO GEAR.  TT",Kota
279,TATA MOTORS,Tigor,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,TIMING CHAIN COMES LOOSE OF SPROCKET AND FELL OFF MOTORCYCLE.  TT,Vasai-Virar
280,TATA MOTORS,Altroz,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION FAILED.  TT,Vasai-Virar
281,TATA MOTORS,Tiago EV,SAFETY,AIR BAGS,"NO DEPLOYMENT OF AIR BAG DURING ACCIDENT, RESULTING IN AN INJURY. ""DUP: SEE 480212"".   *AK",Srinagar
282,TATA MOTORS,Indigo,SAFETY,SEAT BELTS,AUTOMATIC SHOULDER RESTRAINT; CAR WAS FIXED UNDER THE RECALL INTERIOR SYSTEM PASSIVE # 92V053000 AND IT FAILED AGAIN DEALER WANTS TO CHARGE CONSUMER TO FIX.  TT,Jodhpur
283,TATA MOTORS,Nexon,SAFETY,SEAT BELTS,FRONT PASSENGER DOOR POPPED OPEN UPON IMPACT; DRIVER/PASSENGER MOTORIZED SHOULDER BELTS DID NOT HOLD OCCUPANTS; PASSENGER'S HEAD WENT THRU WINDSHIELD; TOTALLED.,Hyderabad
284,TATA MOTORS,Punch,SAFETY,AIR BAGS,AIRBAG INTERIOR LIGHT FLASHES WHEN DRIVING VEHICLE DUE TO DEFECTIVE RETAINER RING OR AIRBAG.  TT,Pimpri-Chinchwad
285,TATA MOTORS,Indigo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTOMATIC TRANSMISSION FAILURE.  TT,Allahabad
286,TATA MOTORS,Hexa,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO-TRANSMISSION; OWNERS HEARD LOUD NOISE W/VEHICLE NO LONGER RESPONDING TO ACCELERATION.  TT,Agra
287,TATA MOTORS,Sumo,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM,ENGINE SURGES IN AND OUT; LIGHTS FLICKER; CAUSED BY OVERLOAD IN ELECTRICAL SYSTEM.  TT,Chandigarh
288,TATA MOTORS,Sumo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"DROVE CAR, PARKED IN DRIVEWAY, CUT OFF, PUT GEAR IN PARK AND CAR PINNED CONSUMER AGAINST GARAGE DOOR.  TT",Coimbatore
289,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,DRIVING CAR CUT OFF AND COME ON AND WAS AT A STOP LIGHT AND THE AIR BAG DEPLOYED.  TT,Aurangabad
290,TATA MOTORS,Nexon EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,THE HEAD GASKET WENT CAUSING THE ANTI-FREEZE TO GO INTO THE OIL. PLEASE DESCRIBE DETAILS.  TT,Pimpri-Chinchwad
291,TATA MOTORS,Zest,SAFETY,AIR BAGS,THE AIRBAG LIGHT HAS COME ON AND HAS CONTINUED TO STAY ON. PLEASE DESCRIBE DETAILS.  TT,Vijayawada
292,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,HIT GUARD RAIL AT 30 MPH AIR BAG DEPLOYED DRIVERS FACE WAS BURNED.  TT,Chennai
293,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,VEHICLE DRIVERS SIDE AIRBAG DEPLOYED WITH OUT ANY REASON. WHILE PARKING.  TT,Allahabad
294,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLES THROTTLE STUCK WHILE DRIVING.  TT,Raipur
295,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,AIRBAG DID NOT DEPLOY DURING FRONTEND COLLISION AT 40-45MPH CAUSING MINOR INJURIES TO DRIVER.  TT,Jabalpur
296,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"PROBLEM WITH SUDDEN ACCELERATION, STALLING AND DYING ON THE ROAD.  TT",Delhi
297,TATA MOTORS,Aria,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHEN SHIFTING TRANSMISSION INTO REVERSE, VEHICLE ACCELERATED BY ITSELF, RESULTING IN LOSS OF CONTROL/ACCIDENT.  TT",Hubli–Dharwad
298,TATA MOTORS,Nexon EV,STEERING & SUSPENSION,STEERING,"VEHICLE SUDDENLY VEERED TO THE RIGHT VERY HARD, CAUSING DAMAGES TO VEHICLE UNDERBODY CARRIAGE, SUSPENSION, WHEELS AND PROPERTY.  TT",Jabalpur
299,TATA MOTORS,Zest,VEHICLE CONTROL,TIRES,TIRE BLOW OUT ON PICKUP TRUCK GOING ON HIGHWAY AT 55MPH.  TT,Ghaziabad
300,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"RECALL RELATED 94V173000, FUEL THROTTLE RECEIVED NOTICE 0CT 94, CONTACT MFR. AND DEALERSHIP BACKORDER WITH NO ESTIMATE.  TT",Mysore
301,TATA MOTORS,Nexon,SAFETY,EXTERIOR LIGHTING,PARKING LIGHT BULBS BLOW OUT ON A REGULAR BASICS; 5 TIMES WITHIN 1 YEAR; CAUSES DECREASED ILLUMINATION ON FRONT OF VEHICLE.  TT,Ranchi
302,TATA MOTORS,Vista,SAFETY,AIR BAGS:FRONTAL,"AT 12:00 POSITION AT 30-40MPH, DRIVERS SIDE AIRBAG DID NOT DEPLOY, RESULTING IN AN INJURY.  TT",Vasai-Virar
303,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO TRANSMISSION FAILURE; REPLACED TWICE.  TT,Faridabad
304,TATA MOTORS,Tiago EV,UNKNOWN OR OTHER,UNKNOWN OR OTHER,SEWER TANK FELL OFF. IT APPEARS BRACKETS MAY HAVE FALLEN OFF OR NOT DESIGNED PROPERLY.  TT,Chandigarh
305,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE HAD SUDDEN ACCELERATION WITH NO WARNING.  TT,Delhi
306,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,ACELERATOR STICKS.  TT,Tiruchirappalli
307,TATA MOTORS,Nexon EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,OIL PRESSURE BUILDS UP AND DROPS DOWN.  TT,Pune
308,TATA MOTORS,Harrier,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHILE PULLING OUT OF DRIVEWAY PUT TRANSMISSION INTO REVERSE COMING OUT OF DRIVEWAY, SHIFTING GEAR BAR FLOATED, GEAR WENT INTO PARK AND REMAINED STUCK THERE. TT",Delhi
309,TATA MOTORS,Aria,SAFETY,AIR BAGS:FRONTAL,AIRBAG DID NOT DEPLOY DURING FRONTEND COLLISION AT 30MPH. MINOR HEAD INJURIES. PLEASE DESCRIBE DETAILS.  TT,Ahmedabad
310,TATA MOTORS,Punch EV,SAFETY,AIR BAGS:FRONTAL,HAD A SERIOUS FRONTAL COLLISION AND DRIVERS AIR BAG DID NOT DEPLOY.   TT,Visakhapatnam
311,TATA MOTORS,Nano,SAFETY,AIR BAGS:FRONTAL,HAD A SERIOUS FRONTAL COLLISION AND PASSENGERS AIR BAG DID NOT DEPLOY. TT,Rajkot
312,TATA MOTORS,Nexon,SAFETY,AIR BAGS,AIR BAG LIGHT CONTINUES TO STAY ON EVEN AFTER REPLACEMENT OF SWITCH.  TT,Guwahati
313,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,CAR INVOLVED IN ACCIDENT AIRBAG DEPLOYED AND STRUCK DRIVER IN RIGHT EYE CAUSING BLINDNESS.  PLEASE DESCRIBE DETAILS.  TT,Bengaluru
314,TATA MOTORS,Safari,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 12:00 POSITION LOST CONTROL HITTING ENBANKMENT SPEED 45MPH, AIR BAG DID NOT DEPLOYED.  TT",Kanpur
315,TATA MOTORS,Sumo,STEERING & SUSPENSION,STEERING,"FRONTAL COLLISION IMPACT 12:00 POSITION LOST CONTROL HITTING ENBANKMENT SPEED 45MPH, AIR BAG DID NOT DEPLOYED.  TT",Jodhpur
316,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,"ABS, FAILURE WHEN APPLYING BRAKES EXTENDED STOPPING DISTANCE IMPACT 12:00 POSITION SPEED 35MPH, AIR BAG DID NOT DEPLOY.  TT",Tiruchirappalli
317,TATA MOTORS,Nano,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO TRANSMISSION FAILURE.  TT,Meerut
318,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE EXHIBITS HIGH IDLING CONDITON. CAUSING THE VEHICLE TO SURGE.  TT,Agra
319,TATA MOTORS,Nexon,SAFETY,AIR BAGS:FRONTAL,HIT ANOTHER CAR AT A LOW SPEED AND AIR BAG DEPLOYED.  TT,Solapur
320,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,ERRATIC SHIFTING OF AUTOMATIC TRANSMISSION. CAUSING VEHICLE TO SURGE.  TT,Ranchi
321,TATA MOTORS,Sumo,SAFETY,AIR BAGS:FRONTAL,DRIVER SIDE AIRBAGS DID NOT DEPLOY AT 12:00 GOING 35MPH.  TT,Jabalpur
322,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,PASSENGER SIDE AIRBAGS DID NOT DEPLOY AT 12:00 GOING 35MPH.  TT,Gwalior
323,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CAR WAS IN AN ACCIDENT WAS DRIVING DOWN ROAD 35 TO 40 MPH CAR ACCELERATE HIT A SMALL TREE BY THE ROAD SIDE.  TT,Bhopal
324,TATA MOTORS,Bolt,SAFETY,AIR BAGS,"AIRBAG IS DEFECTIVE, INDICATOR LIGHT COMES ON INTERMITTENTLY.  TT",Navi Mumbai
325,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,AUTO-TRAN: GAS PEDAL STUCK; ENGINE ACCELERATED IN AN UNCONTROLLABLE MANNER; APPLIED BRAKES; SHUT OFF ENGINE TO STOP VEHICLE; NO PRIOR WARNING.  TT,Vasai-Virar
326,TATA MOTORS,Altroz,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"TRANSMISSION; THE TRANSMISSION HAD TO BE REPLACED VAN AT 84,000 MILES PURCHASE VAN USED.  TT",Mysore
327,TATA MOTORS,Altroz,VEHICLE CONTROL,TIRES,"EXCESSIVE REPLACEMENT OF FRONT BRAKE PADS, GRINDING NOISES. TIRE FAILURE.  TT",Chennai
328,TATA MOTORS,Aria,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION, IMPACT 12:00 POSITION, SPEED 55MPH, AIR BAG DID NOT DEPLOY. ""DUP 950315: 959309"".  TT",Bengaluru
329,TATA MOTORS,Tigor,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE SUDDENLY ACCELERATED UPON SHIFTING GEARS FROM PARK TO REVERSE CRASHING INTO MAILBOX AND RAMP. PLEASE DESCRIBE DETAILS.  TT,Faridabad
330,TATA MOTORS,Punch,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"SUDDEN ACCELERATION, RESULTING IN AN ACCIDENT.  *AK",Mumbai
331,TATA MOTORS,Nano,SAFETY,SEATS,"DRIVERS SIDE SEAT BROKE AT U BASE OF THE SEAT AND SEAT FELL BACKWARDS, RESULTING IN INJURIES. TT",Ahmedabad
332,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,BRAKES ARE FAILING AND THE CAR ACCELERATES AT THE SAME TIME.  PLEASE DESCRIBE DETAILS.  TT,Nashik
333,TATA MOTORS,Indica,VEHICLE CONTROL,TIRES,"EXCESSIVE REPLACEMENT OF FRONT BRAKE PADS, GRINDING NOISES. TIRE FAILURE.  TT",Guwahati
334,TATA MOTORS,Tiago,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"WHILE DRIVING, SUDDENLY VEHICLE STARTED ACCELERATING WITHOUT PRESSING GAS PEDAL, FROM 35-70MPH ACCELERATING, TO STOP TURNED OFF IGNITION.  TT",Jaipur
335,TATA MOTORS,Nexon EV,SAFETY,SEATS,THE BOLTS THAT HOLD SECURE DRIVERS SEAT BROKE OFF.  TT,Hyderabad
336,TATA MOTORS,Indigo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"TRANSMISSION MOUNTS FAILED, ALSO TRANSMISSION FLUID LEAK.  *AK",Mysore
337,TATA MOTORS,Tiago EV,POWER TRAIN,"FUEL SYSTEM, GASOLINE","PCV VALVE FAILED TWICE, CAUSING SURGING; ALSO REPLACED CANISTER PURGE/VACUUM RESISTOR/CONNECTOR SENSOR.  *AK",Gwalior
338,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"VEHICLE WENT OPEN THROTTLE POSITION, WHILE DRIVING PUT IN NEUTRAL POSITION, WHEN HIGH IDLE AND INTO REVERSE IMPACT 6:00 POSITION SPEED INKNOWN.  TT",Raipur
339,TATA MOTORS,Nexon,SAFETY,SEATS,"DRIVERS SIDE SEAT, TRACK ANCHORS AND SEAT BROKE FROM THE FLOOR.  TT",Rajkot
340,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"WHEN ENGINES COLD, WHILE DRIVING VEHICLE SUDDENLY WITHOUT WARNING JUMPS OUT OF GEAR, FROM DRIVE INTO NEUTRAL.  TT",Thane
341,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,"HEAD ON COLLISION AND THE DRIVERS SIDE AIRBAG DID NOT DEPLOY, RESULTING IN AN INJURY.  TT",Vadodara
342,TATA MOTORS,Nano,SAFETY,AIR BAGS:FRONTAL,"CAR WAS IN AN ACCIDENT AND DRIVER'S AIR BAG DIDN'T DEPLOY, RESULTING IN AN INJURY. TT",Raipur
343,TATA MOTORS,Vista,SAFETY,AIR BAGS:FRONTAL,NO DEPLOYMENT OF PASSENGER'S AIRBAG DURING ACCIDENT.  *AK,Kalyan-Dombivli
344,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE DOES NOT SLOW DOWN WHEN FOOT IS OFF OF GAS AND BRAKING IS ENFORCED.  TT,Amritsar
345,TATA MOTORS,Tigor,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,ENGINE TIMING BELT BROKE AND ENGINE IMMEDIATELY FAILED.  TT,Kolkata
346,TATA MOTORS,Zest,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,NOISY TRANSMISSION.   8AK,Bengaluru
347,TATA MOTORS,Tiago EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,REPLACED LEAKING ENGINE OIL PAN.   *AK,Mysore
348,TATA MOTORS,Tiago EV,VEHICLE CONTROL,VEHICLE SPEED CONTROL,THROTTLE ON VEHICLE STUCK OPEN CAUSING AN ACCIDENT.  TT,Raipur
349,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,STEERING,100 MILES INTO THE VEHICLE IT STARTED TO PULL TO THE LEFT.  TT,Coimbatore
350,TATA MOTORS,Bolt,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,CAR HAS A CRACKED ENGINE HEAD WHICH IS CAUSING FUMES TO COME OUT THE BACK.  PLEASE DESCRIBE DETAILS.  TT,Pimpri-Chinchwad
351,TATA MOTORS,Tigor,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,"ENGINE HEAD/CYLINDER ROCKER ARM COVER GASKET SPLIT CAUSING COOLANT TO LEAK PRIOR TO RECALL, ALSO FUMES EMMINATED OUT OF THE BACK (89V-095).",Solapur
352,TATA MOTORS,Indigo,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL FAILED WITHOUT WARNING.  TT,Ludhiana
353,TATA MOTORS,Indica,SAFETY,AIR BAGS:FRONTAL,CAR INVOLVED IN HEAD ON COLLISION AND DRIVER SIDE AIRBAG DID NOT DEPLOY. PLEASE DESCRIBE DETAILS.  TT,Dhanbad
354,TATA MOTORS,Tiago EV,VEHICLE CONTROL,TIRES,VEHICLE ORIGINAL GENERAL TIRES ARE DEFECTIVE 3 OUT OF 4 BLEW OUT.  TT,Jabalpur
355,TATA MOTORS,Nexon,STEERING & SUSPENSION,STEERING,"ON WET SURFACE CAN NOT CONTROL VEHICLE IN FOR REPAIR NO PROBLEM FOUND, UNDERBODY DAMAGE GOING OVER A CURVE.     TT",Kalyan-Dombivli
356,TATA MOTORS,Bolt,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO-TRAN:SHIFTED FROM DRIVE TO PARK;LEFT CAR RUNNING WHILE PARKED ON INCLINE;DRIVER NOTICED CAR COMING TOWARD HIM;DRIVER PINNED BETWEEN CAR AND WORK BENCH.  TT,Delhi
357,TATA MOTORS,Indigo,SAFETY,SEATS,VEHICLES DRIVER SIDE SET BRACKET WELDS ARE DEFECTIVE AND CAUSING CRACKING. PHONE EXT-9121.  TT,Agra
358,TATA MOTORS,Tigor,SAFETY,AIR BAGS:FRONTAL,VEHICLE 12:00 POSITION AT 30 MPH DRIVER AND PASSENGER AIRBAGS DEPLOYED AND PASSENGER AIRBAG CAUGHT ON FIRE AFTER DEPLOYMENT.  TT,Hubli–Dharwad
359,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 12:00 POSITION 40 MPH, AIR BAG FUMES CAME OUT, AIR BAG DID NOT DEPLOY.  TT",Jodhpur
360,TATA MOTORS,Safari,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,O1L PUMP MAKES LOUD GRINDING NOISE. TT,Ahmedabad
361,TATA MOTORS,Nexon EV,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,HEAD GASKET BOLT SNAPPED OFF WHILE ASSEMBLES.  TT,Patna
362,TATA MOTORS,Sumo,SAFETY,SEATS,DRIVER SEAT FRAME BROKE AWAY FROM THE FLOOR.  TT,Dhanbad
363,TATA MOTORS,Tiago EV,ELECTRICAL SYSTEM,ELECTRICAL SYSTEM,"POWER WINDOW/LOCKS/SIGNAL/WINDSHIELD WIPER MALFUNCTION, DUE TO ELEC. PROBLEM, REPLACE COMPUTER MODULE, PROBLEM STOPPED FOR A FEW MONTHS AND STARTED UP AGAIN.",Chennai
364,TATA MOTORS,Nexon,POWER TRAIN,ENGINE AND ENGINE COOLING:ENGINE,HEAD GASKET REQUIRES REPLACEMENT.  TT,Dhanbad
365,TATA MOTORS,Tiago EV,STEERING & SUSPENSION,STEERING,"VEHICLE STALL OUT WITHOUT ANY WARNING, RESULTING IN NO STEERING AND BRAKING ABILITY, REPLACE CAM AND CRANK SENSOR/FUEL PUMP ASSM AND ELEC. SYSTEM, TO NO AVAIL.",Lucknow
366,TATA MOTORS,Indica,VEHICLE CONTROL,VEHICLE SPEED CONTROL,ACCELERATOR PEDAL STUCK TO THE FLOOR CAR SURGED AT HIGH RATE OF SPEED.  TT,Hubli–Dharwad
367,TATA MOTORS,Nexon EV,STEERING & SUSPENSION,SUSPENSION,REPLACED SHOCKS. ALIGNED.  TT,Hubli–Dharwad
368,TATA MOTORS,Nexon,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,AUTO-TRAN: TRANSMISSION BUCKS; CAUSED FAILURE OF GEAR WHILE DRIVING HIGH SPEEDS; REPLACED/OVERHAULED 1 TIME WITHIN 5 YEARS.  TT,Pune
369,TATA MOTORS,Bolt,SAFETY,AIR BAGS:FRONTAL,"FRONTAL COLLISION IMPACT 12:00 POSTION AIR BAG DID NOT DEPLOY, SPEED 35 MPH.  TT",Ahmedabad
370,TATA MOTORS,Sumo,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"2ND TRANS FAILURE TOUCH PLASTIC WHEEL COVER RESULTING IN FIRE, 1ST TRANSMISSION FAILURE RESULTED IN WHEEL LOCK UP, 3RD TRANSMISSION BEING INSTALLED.  TT",Ghaziabad
371,TATA MOTORS,Zest,VEHICLE CONTROL,VEHICLE SPEED CONTROL,"CRUISE CONTROL WILL NOT PROPERLY DISENGAGE WHEN BRAKES APPLIED, CAUSING INCREASES IN SPEED PERIODICALLY.  TT",Jabalpur
372,TATA MOTORS,Nexon,SAFETY,SEAT BELTS,"AUTOMATIC SEAT BELT STUCK IN HALF WAY POSITION, DEALER SAID THAT A NEW TRACK ASSEMBLY NEEDED.  TT",Kota
373,TATA MOTORS,Nexon,SAFETY,SEAT BELTS,AUTOMATIC SEAT BELTS FAILED TO WORK PROPERLY.    *AK,Rajkot
374,TATA MOTORS,Bolt,VEHICLE CONTROL,VEHICLE SPEED CONTROL,VEHICLE WENT INTO OPEN THROTTLE POSITION WHILE DRIVING WOULD NOT STOP VEHICLE PUT INTO NEUTRAL TO STOP APPLIED BRAKES.  TT,Kanpur
375,TATA MOTORS,Nexon,VEHICLE CONTROL,VEHICLE SPEED CONTROL,AUTO-TRAN: THROTTLE STUCK; MOTOR SEEMED TO BE SCREAMING; BRAKES WENT TO FLOOR; RAN INTO JEEP; JEEP RAN INTO ANOTHER TRUCK; HEARD NOISE COMING OFF RAMP.  TT,Solapur
376,TATA MOTORS,Zest,SAFETY,AIR BAGS:FRONTAL,AIR BAG CAUGHT FIRE AND BURNED PASSENGER DURING 5 CAR ACCIDENT.  TT,Pune
377,TATA MOTORS,Safari,VEHICLE CONTROL,VEHICLE SPEED CONTROL,ENGINE SURGES WHILE IN PARK/DRIVING AT SPEED BELOW 50 MPH/COASTING TO SLOWDOWN.  *AK,Jabalpur
378,TATA MOTORS,Tiago EV,UNKNOWN OR OTHER,UNKNOWN OR OTHER,THE UPHOLSTERY AND CARPET ARE HIGHLY FLAMMABLE. PLEASE DESCRIBE DETAILS.  TT,Ahmedabad
379,TATA MOTORS,Tiago EV,POWER TRAIN,"FUEL SYSTEM, GASOLINE","PURCHASED USED TRUCK ON JAN 16, 1995, DROVE OFF THE LOT AND ON MY WAY HOME, TRUCK CAUGHT ON FIRE.  TT",Faridabad
380,TATA MOTORS,Punch,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,"AUTO-TRANSMISSION; WHILE TURNING ONTO ANOTHER INTERSECTION, TRANSMISSION FAILED VEHICLE BECAME MOTIONLESS.  TT",Kanpur
381,TATA MOTORS,Tiago EV,SAFETY,SEATS,DRIVERS SIDE SEATBACK BENCH COLLAPSED WHILE IDLING DUE TO DEFECTIVE BOLTS. TT,Thane
382,TATA MOTORS,Bolt,STEERING & SUSPENSION,STEERING,"WHILE DRIVING AT SPEEDS NOT EXCEEDING 20MPH VEHICLE BEGAN SPINNING OUT OF CONTROL RESULTING IN A SERIOUS ACCIDENT, AND CAR BEING TOTALED.  TT",Lucknow
383,TATA MOTORS,Nano,VEHICLE CONTROL,VEHICLE SPEED CONTROL,CRUISE CONTROL LOCKED 65 MPH; WOULD NOT RELEASE;ENGINE ACCELERATED;EXCESSIVE EFFORT TO STOP VEHICLE;VERY CAREFULLY BRAKED; RODE BRAKES 6 TO 7 MILES; NO WARNING.,Tiruchirappalli
384,TATA MOTORS,Aria,SAFETY,SEAT BELTS,DRIVER'S SHOULDER/LAP BELT CABLE POPPED OUT OF TRACK WHILE IN USE; GREASE LEAKED OUT OF CABLE; SPEED 50 MPH; SHOULDER HARNESS NO LONGER WORKS.  TT,Mysore
385,TATA MOTORS,Indigo,POWER TRAIN,POWER TRAIN,"DIGITAL SPEEDOMETER/ODOMETER WILL EITHER FAIL OR FLUCTUATE IN MILEAGE 15,000 MORE. SPEED WAS OFF SAYING LESS THAN TRAVELING.  TT",Hyderabad
386,TATA MOTORS,Nexon,POWER TRAIN,POWER TRAIN:AUTOMATIC TRANSMISSION,TRANSMISSION WOULD NOT GO INTO REVERSE/IT WOULD ONLY STAY IN LOW GEAR AND IT FELT LIKE IT WAS SLIPPING.  *AK,Chandigarh
